                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8479,                 5.5699,                 1.6629,                0.34615,                0.11111,                0.12826,                0.10222,                 1.3142,                 4.8939,                  1.682,                 0.0964,                 0.0004,                 0.0004
                      1,                  1.747,                 5.7192,                 1.7866,                0.21466,                0.11111,                0.13223,                0.11021,                 1.4664,                 4.3308,                 1.7375,               0.091864,             0.00086436,             0.00086436
                      2,                 1.5389,                 3.9904,                 1.5715,                0.45409,                0.22222,                 0.1943,                 0.1203,                 1.4338,                 3.9647,                 1.8391,               0.087289,              0.0012891,              0.0012891
                      3,                 1.6776,                 2.8765,                 1.6891,                 0.6639,                0.43984,                0.42989,                0.21753,                 1.3564,                 2.6906,                 1.6769,               0.082674,              0.0016743,              0.0016743
                      4,                 1.4814,                 2.4414,                 1.4839,                0.51014,                0.34911,                0.35825,                0.21252,                    1.6,                 3.3223,                 1.9053,                0.07802,              0.0020198,              0.0020198
                      5,                  1.526,                 1.6908,                 1.4444,                0.64002,                0.44444,                0.44516,                0.27514,                 1.5367,                 2.9074,                 1.8706,               0.073326,              0.0023258,              0.0023258
                      6,                 1.2453,                  1.351,                 1.3486,                0.75775,                0.35057,                0.50237,                0.28619,                 1.7967,                 2.8478,                 2.0888,               0.068592,              0.0025922,              0.0025922
                      7,                   1.37,                 1.4691,                 1.4631,                      1,                0.24449,                0.41201,                0.34339,                 1.5601,                  2.919,                 1.9126,               0.063819,              0.0028189,              0.0028189
                      8,                 1.2383,                 6.0485,                 1.2044,                      1,                0.39011,                0.46042,                0.20915,                 2.0759,                 2.6674,                 2.1386,               0.059006,              0.0030061,              0.0030061
                      9,                 1.4191,                 1.4267,                 1.4888,                0.94713,                0.55556,                0.55795,                0.30725,                 1.6319,                 2.3129,                 1.9664,               0.054154,              0.0031536,              0.0031536
                     10,                 1.2957,                 1.1941,                 1.3071,                0.76373,                0.44444,                 0.4819,                0.31038,                 1.6862,                  2.599,                 2.0306,               0.049262,              0.0032616,              0.0032616
                     11,                 1.3669,                  1.447,                 1.3814,                0.55992,                 0.7091,                0.64491,                0.43522,                 1.1575,                 1.5878,                 1.4972,                0.04433,                0.00333,                0.00333
                     12,                 1.2568,                 1.1268,                 1.3473,                0.84693,                0.61901,                0.71312,                0.43129,                 1.1302,                 1.8946,                 1.4591,               0.039359,              0.0033587,              0.0033587
                     13,                 1.3906,                 1.2069,                 1.5147,                  0.761,                0.77778,                0.78588,                0.57897,                0.99925,                 1.1241,                 1.3225,               0.034348,              0.0033479,              0.0033479
                     14,                 1.2487,                 1.2243,                 1.3438,                0.71387,                0.77778,                0.80981,                0.51219,                0.94432,                 1.4645,                 1.2718,               0.029297,              0.0032974,              0.0032974
                     15,                 1.5375,                 3.1172,                  1.335,                0.73825,                0.55556,                0.76699,                0.52345,                 1.0299,                 1.4766,                  1.368,               0.024207,              0.0032074,              0.0032074
                     16,                   1.19,                 1.1519,                 1.3996,                0.82876,                0.54033,                0.58583,                0.39774,                   1.21,                 1.5548,                 1.5229,               0.019078,              0.0030778,              0.0030778
                     17,                0.99845,                 1.0663,                 1.3554,                      1,                0.26745,                0.46796,                0.27702,                 1.8086,                 2.5259,                 2.0477,               0.013909,              0.0029085,              0.0029085
                     18,                 1.2341,                 1.0315,                 1.5286,                 0.7538,                0.44444,                0.61834,                 0.2603,                 2.1807,                 1.6153,                 2.0387,              0.0086997,              0.0026997,              0.0026997
                     19,                 1.0891,                0.79555,                 1.4555,                0.54066,                0.66667,                0.65065,                0.29179,                 1.9285,                 1.7376,                 1.9168,              0.0034512,              0.0024512,              0.0024512
                     20,                0.98381,                0.76548,                 1.2579,                0.54066,                0.66667,                0.65065,                0.29179,                 1.9285,                 1.7376,                 1.9168,                0.00208,                0.00208,                0.00208
                     21,                 1.2346,                0.96276,                 1.3991,                0.80945,                0.47596,                0.67101,                0.28066,                 2.3032,                 1.5381,                 2.0042,                0.00208,                0.00208,                0.00208
                     22,                 1.1152,                0.78874,                 1.3763,                  0.832,                0.66667,                0.80021,                0.35698,                 1.8915,                 1.2783,                 1.6771,               0.001684,               0.001684,               0.001684
                     23,                 1.2172,                0.72877,                 1.2432,                  0.699,                0.77445,                0.79584,                0.44862,                 1.3932,                 1.2448,                 1.4119,               0.001288,               0.001288,               0.001288
                     24,                 1.1505,                0.72914,                 1.3022,                0.98021,                0.55556,                0.78664,                0.50379,                 1.1472,                 1.1043,                 1.2847,               0.000892,               0.000892,               0.000892
